iter	Passed	Remaining
408	7572	10942
409	7582	10911
410	7597	10888
411	7610	10861
412	7619	10830
413	7640	10815
414	7653	10788
415	7664	10760
416	7679	10736
417	7692	10710
418	7706	10686
419	7715	10654
420	7727	10627
421	7741	10603
422	7756	10580
423	7770	10555
424	7790	10539
425	7805	10517
426	7817	10490
427	7835	10472
428	7859	10460
429	7885	10452
430	7902	10432
431	7918	10411
432	7935	10391
433	7949	10367
434	7958	10336
435	7983	10327
436	8000	10307
437	8027	10300
438	8067	10308
439	8101	10310
440	8120	10293
441	8147	10285
442	8163	10263
443	8177	10240
444	8194	10219
445	8206	10193
446	8222	10171
447	8235	10147
448	8252	10126
449	8273	10112
450	8288	10089
451	8329	10098
452	8393	10135
453	8428	10136
454	8443	10113
455	8454	10086
456	8471	10065
457	8487	10044
458	8514	10036
459	8539	10024
460	8584	10037
461	8688	10117
462	8736	10133
463	8799	10165
464	8831	10161
465	8871	10166
466	8899	10157
467	8930	10152
468	8945	10128
469	8965	10110
470	8979	10085
471	8998	10065
472	9016	10045
473	9033	10024
474	9056	10010
475	9099	10016
476	9121	10001
477	9137	9978
478	9154	9957
479	9204	9971
480	9269	10002
481	9286	9979
482	9305	9961
483	9324	9941
484	9338	9916
485	9353	9892
486	9377	9878
487	9395	9857
488	9420	9844
489	9466	9852
490	9504	9852
491	9565	9876
492	9649	9923
493	9712	9948
494	9747	9944
495	9781	9938
496	9823	9941
497	9856	9935
498	9941	9981
499	9993	9993
500	10048	10008
501	10070	9990
502	10088	9968
503	10126	9965
504	10167	9965
505	10217	9974
506	10247	9964
507	10264	9941
508	10279	9916
509	10297	9893
510	10317	9873
511	10335	9851
512	10361	9836
513	10392	9826
514	10415	9808
515	10444	9796
516	10488	9798
517	10511	9780
518	10561	9788
519	10597	9782
520	10621	9765
521	10641	9744
522	10661	9723
523	10701	9720
524	10716	9695
525	10731	9670
526	10750	9649
527	10777	9634
528	10797	9613
529	10827	9601
530	10846	9579
531	10868	9560
532	10883	9535
533	10904	9515
534	10925	9495
535	10943	9473
536	10963	9452
537	10976	9426
538	10992	9401
539	11006	9376
540	11019	9349
541	11036	9325
542	11065	9312
543	11076	9284
544	11091	9259
545	11103	9232
546	11114	9204
547	11132	9181
548	11145	9156
549	11160	9131
550	11175	9106
551	11212	9099
552	11229	9077
553	11257	9062
554	11280	9044
555	11304	9026
556	11320	9003
557	11343	8985
558	11360	8962
559	11386	8946
560	11404	8924
561	11414	8896
562	11426	8869
563	11439	8843
564	11454	8818
565	11464	8791
566	11475	8763
567	11495	8743
568	11509	8718
569	11522	8692
570	11538	8668
571	11558	8648
572	11573	8624
573	11587	8600
574	11602	8575
575	11613	8548
576	11629	8525
577	11647	8504
578	11685	8496
579	11758	8514
580	11783	8497
581	11798	8473
582	11812	8449
583	11824	8422
584	11835	8396
585	11849	8371
586	11861	8345
587	11873	8319
588	11887	8294
589	11904	8272
590	11922	8251
591	11937	8226
592	11952	8203
593	11964	8177
594	11980	8154
595	11998	8132
596	12011	8108
597	12026	8084
598	12041	8061
599	12054	8036
600	12068	8012
601	12080	7986
602	12110	7973
603	12130	7953
604	12155	7935
605	12170	7912
606	12185	7889
607	12197	7863
608	12211	7840
609	12223	7815
610	12236	7790
611	12251	7767
612	12273	7748
613	12321	7746
614	12350	7731
615	12369	7710
616	12384	7687
617	12394	7661
618	12408	7637
619	12418	7611
620	12440	7592
621	12462	7573
622	12477	7550
623	12498	7531
624	12547	7528
625	12570	7510
626	12592	7491
627	12617	7474
628	12650	7461
629	12669	7440
630	12685	7418
631	12706	7398
632	12720	7375
633	12776	7375
634	12867	7396
635	12884	7374
636	12906	7354
637	12920	7330
638	12936	7308
639	12950	7284
640	12962	7259
641	12984	7240
642	13008	7222
643	13034	7205
644	13055	7185
645	13080	7168
646	13094	7144
647	13107	7119
648	13121	7096
649	13141	7076
650	13155	7052
651	13170	7029
652	13182	7004
653	13207	6987
654	13221	6964
655	13233	6939
656	13253	6919
657	13268	6896
658	13280	6871
659	13296	6849
660	13309	6825
661	13321	6801
662	13334	6777
663	13355	6757
664	13366	6733
665	13382	6711
666	13394	6687
667	13409	6664
668	13421	6640
669	13433	6616
670	13454	6596
671	13466	6573
672	13483	6551
673	13494	6526
674	13508	6504
675	13522	6481
676	13535	6457
677	13550	6435
678	13560	6410
679	13573	6387
680	13598	6369
681	13618	6349
682	13629	6325
683	13639	6301
684	13654	6279
685	13669	6256
686	13687	6236
687	13701	6213
688	13715	6190
689	13734	6170
690	13749	6148
691	13762	6125
692	13775	6102
693	13792	6081
694	13803	6057
695	13815	6034
696	13827	6011
697	13843	5989
698	13855	5966
699	13867	5943
700	13907	5931
701	13921	5909
702	13936	5887
703	13964	5871
704	14008	5861
705	14066	5857
706	14101	5844
707	14135	5830
708	14177	5819
709	14204	5801
710	14249	5792
711	14282	5777
712	14398	5795
713	14448	5787
714	14498	5779
715	14531	5763
716	14563	5748
717	14589	5730
718	14603	5707
719	14624	5687
720	14649	5668
721	14715	5666
722	14767	5657
723	14808	5645
724	14833	5626
725	14861	5608
726	14884	5589
727	14907	5569
728	14922	5547
729	14938	5525
730	14977	5511
731	15068	5516
732	15101	5500
733	15136	5485
734	15163	5467
735	15192	5449
736	15303	5461
737	15487	5498
738	15545	5490
739	15628	5490
740	15714	5492
741	15758	5479
742	15835	5477
743	15880	5464
744	15925	5450
745	15953	5431
746	15974	5410
747	15988	5386
748	16002	5362
749	16018	5339
750	16033	5315
751	16053	5294
752	16071	5271
753	16089	5249
754	16103	5225
755	16119	5202
756	16133	5179
757	16149	5155
758	16164	5132
759	16186	5111
760	16209	5090
761	16245	5074
762	16266	5052
763	16285	5030
764	16300	5007
765	16317	4984
766	16338	4963
767	16353	4940
768	16379	4920
769	16398	4898
770	16419	4876
771	16446	4857
772	16462	4834
773	16483	4812
774	16496	4789
775	16510	4766
776	16527	4743
777	16543	4720
778	16556	4696
779	16587	4678
780	16629	4662
781	16652	4642
782	16673	4620
783	16697	4600
784	16709	4576
785	16726	4554
786	16742	4531
787	16754	4507
788	16766	4483
789	16780	4460
790	16795	4437
791	16813	4415
792	16835	4394
793	16850	4371
794	16865	4348
795	16881	4326
796	16895	4303
797	16923	4283
798	16947	4263
799	16963	4240
800	16976	4217
801	16986	4193
802	17005	4172
803	17019	4148
804	17032	4125
805	17048	4103
806	17062	4080
807	17076	4057
808	17088	4034
809	17117	4015
810	17134	3993
811	17154	3971
812	17174	3950
813	17186	3927
814	17202	3904
815	17213	3881
816	17236	3860
817	17247	3837
818	17265	3815
819	17277	3792
820	17291	3769
821	17306	3747
822	17322	3725
823	17334	3702
824	17349	3680
825	17372	3659
826	17387	3637
827	17400	3614
828	17415	3592
829	17424	3568
830	17451	3549
831	17466	3526
832	17477	3503
833	17491	3481
834	17509	3459
835	17521	3437
836	17535	3414
837	17550	3392
838	17561	3369
839	17570	3346
840	17594	3326
841	17604	3303
842	17619	3281
843	17632	3259
844	17646	3236
845	17661	3214
846	17671	3192
847	17686	3170
848	17698	3147
849	17727	3128
850	17747	3107
851	17764	3085
852	17785	3065
853	17813	3045
854	17832	3024
855	17858	3004
856	17872	2982
857	17897	2962
858	17916	2940
859	17937	2920
860	17950	2898
861	17963	2875
862	17983	2854
863	17994	2832
864	18008	2810
865	18029	2789
866	18042	2767
867	18055	2745
868	18069	2724
869	18082	2701
870	18093	2679
871	18108	2658
872	18126	2636
873	18142	2615
874	18156	2593
875	18169	2571
876	18182	2550
877	18196	2528
878	18206	2506
879	18218	2484
880	18229	2462
881	18246	2441
882	18257	2419
883	18269	2397
884	18282	2375
885	18296	2354
886	18307	2332
887	18318	2310
888	18330	2288
889	18347	2267
890	18360	2246
891	18373	2224
892	18396	2204
893	18415	2183
894	18445	2164
895	18459	2142
896	18470	2120
897	18481	2099
898	18497	2078
899	18509	2056
900	18520	2034
901	18533	2013
902	18546	1992
903	18563	1971
904	18589	1951
905	18601	1929
906	18619	1909
907	18630	1887
908	18643	1866
909	18654	1844
910	18674	1824
911	18688	1803
912	18703	1782
913	18715	1761
914	18739	1740
915	18755	1719
916	18769	1698
917	18784	1677
918	18795	1656
919	18806	1635
920	18820	1614
921	18833	1593
922	18844	1572
923	18882	1553
924	18894	1532
925	18904	1510
926	18921	1490
927	18933	1469
928	18945	1447
929	18958	1426
930	18980	1406
931	19003	1386
932	19022	1366
933	19032	1344
934	19048	1324
935	19062	1303
936	19075	1282
937	19091	1261
938	19100	1240
939	19127	1220
940	19149	1200
941	19184	1181
942	19207	1161
943	19226	1140
944	19249	1120
945	19273	1100
946	19290	1079
947	19311	1059
948	19325	1038
949	19350	1018
950	19362	997
951	19382	977
952	19407	957
953	19422	936
954	19440	916
955	19455	895
956	19464	874
957	19487	854
958	19499	833
959	19511	812
960	19525	792
961	19541	771
962	19555	751
963	19568	730
964	19583	710
965	19596	689
966	19607	669
967	19622	648
968	19636	628
969	19648	607
970	19658	587
971	19673	566
972	19687	546
973	19702	525
974	19716	505
975	19730	485
976	19742	464
977	19753	444
978	19770	424
979	19783	403
980	19797	383
981	19810	363
982	19822	342
983	19835	322
984	19849	302
985	19861	282
986	19873	261
987	19887	241
988	19899	221
989	19915	201
990	19934	181
991	19955	160
992	19965	140
993	19981	120
994	19995	100
995	20012	80
996	20025	60
997	20037	40
998	20049	20
999	20060	0
